Title,Author,Date,Link
Lord Wilt Thou Cause That My Eyes May Be Opened,W. Craig Zwick,2017-10,https://www.lds.org/general-conference/2017/10/lord-wilt-thou-cause-that-my-eyes-may-be-opened?lang=eng
Fear Not to Do Good,Henry B. Eyring,2017-10,https://www.lds.org/general-conference/2017/10/fear-not-to-do-good?lang=eng
The Trek Continues,M. Russell Ballard,2017-10,https://www.lds.org/general-conference/2017/10/the-trek-continues?lang=eng
Gods Compelling Witness: The Book of Mormon,Tad R. Callister,2017-10,https://www.lds.org/general-conference/2017/10/gods-compelling-witness-the-book-of-mormon?lang=eng
Apart but Still One,Joni L. Koch,2017-10,https://www.lds.org/general-conference/2017/10/apart-but-still-one?lang=eng
Do We Trust Him Hard Is Good,Stanley G. Ellis,2017-10,https://www.lds.org/general-conference/2017/10/do-we-trust-him-hard-is-good?lang=eng
Essential TruthsOur Need to Act,Adilson de Paula Parrella,2017-10,https://www.lds.org/general-conference/2017/10/essential-truths-our-need-to-act?lang=eng
Seek Ye Out of the Best Books,Ian S. Ardern,2017-10,https://www.lds.org/general-conference/2017/10/seek-ye-out-of-the-best-books?lang=eng
Love One Another as He Has Loved Us,José L. Alonso,2017-10,https://www.lds.org/general-conference/2017/10/love-one-another-as-he-has-loved-us?lang=eng
The Voice of the Lord,Neil L. Andersen,2017-10,https://www.lds.org/general-conference/2017/10/the-voice-of-the-lord?lang=eng
When We Were Strangers,Video Presentation,2016-04,https://www.lds.org/general-conference/2016/04/media/session_0_talk_2/4810651550001?lang=eng
He Asks Us to Be His Hands,Cheryl A. Esplin,2016-04,https://www.lds.org/general-conference/2016/04/he-asks-us-to-be-his-hands?lang=eng
What Shall We Do,Neill F. Marriott,2016-04,https://www.lds.org/general-conference/2016/04/what-shall-we-do?lang=eng
I Was a Stranger: Love One Another,Video Presentation,2016-04,https://www.lds.org/general-conference/2016/04/media/session_0_talk_7/4810668496001?lang=eng
I Was a Stranger,Linda K. Burton,2016-04,https://www.lds.org/general-conference/2016/04/i-was-a-stranger?lang=eng
Trust in That Spirit Which Leadeth to Do Good,Henry B. Eyring,2016-04,https://www.lds.org/general-conference/2016/04/trust-in-that-spirit-which-leadeth-to-do-good?lang=eng
Where Two or Three Are Gathered,Henry B. Eyring,2016-04,https://www.lds.org/general-conference/2016/04/where-two-or-three-are-gathered?lang=eng
A Childs Guiding Gift,Mary R. Durham,2016-04,https://www.lds.org/general-conference/2016/04/a-childs-guiding-gift?lang=eng
I Am a Child of God,Donald L. Hallstrom,2016-04,https://www.lds.org/general-conference/2016/04/i-am-a-child-of-god?lang=eng
Where Are the Keys and Authority of the Priesthood,Gary E. Stevenson,2016-04,https://www.lds.org/general-conference/2016/04/where-are-the-keys-and-authority-of-the-priesthood?lang=eng
The Healing Ointment of Forgiveness,Kevin R. Duncan,2016-04,https://www.lds.org/general-conference/2016/04/the-healing-ointment-of-forgiveness?lang=eng
Be Thou Humble,Steven E. Snow,2016-04,https://www.lds.org/general-conference/2016/04/be-thou-humble?lang=eng
